date,close,volume,open,high,low
2017/06/16,987.71,11439080,996,999.75,982
2017/06/15,964.17,5230302,958.7,965.73,950.86
2017/06/14,976.47,3965444,988.59,990.34,966.71
2017/06/13,980.79,4569183,977.99,984.5,966.1
2017/06/12,964.91,9437061,967,975.95,945
2017/06/09,978.31,7634038,1012.5,1012.99,927
2017/06/08,1010.27,2756796,1012.06,1013.61,1006.11
2017/06/07,1010.07,2818880,1005.95,1010.249,1002
2017/06/06,1003,3341855,1012,1016.5,1001.25
2017/06/05,1011.34,2717283,1007.23,1013.21,1003.51
2017/06/02,1006.73,3749489,998.99,1008.48,995.67
2017/06/01,995.95,2451407,998.59,998.99,991.37
2017/05/31,994.62,3913721,1000,1000.12,982.16
2017/05/30,996.7,3256230,996.51,1001.2,995.52
2017/05/26,995.78,3462132,995,998.65,989.2491
2017/05/25,993.38,4817312,984.85,999,982.11
2017/05/24,980.35,2455977,976,981,970.23
2017/05/23,971.54,2412406,975.02,975.2,966.85
2017/05/22,970.67,2631854,964,971.38,962.9
2017/05/19,959.84,3967552,962.84,968.92,959.72
2017/05/18,958.49,3898729,944.8,962.75,944.76
2017/05/17,944.76,5129887,954.7,960.3957,944.12
2017/05/16,966.07,3114640,961,970.06,960.91
2017/05/15,957.97,4261618,958.73,963.15,956.055
2017/05/12,961.35,3622639,954.5,962.79,951.53
2017/05/11,947.62,2190678,945.11,950.29,940.775
2017/05/10,948.95,2093334,953.5,953.7499,945
2017/05/09,952.82,3256357,952.8,957.89,950.2
2017/05/08,949.04,3406954,940.95,949.05,939.21
2017/05/05,934.15,2863978,940.52,940.79,930.3
2017/05/04,937.53,2413486,944.75,945,934.215
2017/05/03,941.03,3578108,946,946,935.9
2017/05/02,946.94,3814589,946.645,950.1,941.413
2017/05/01,948.23,5459454,927.8,954.4,927.8
2017/04/28,924.99,7354916,948.83,949.59,924.3335
2017/04/27,918.38,5195293,914.39,921.86,912.11
2017/04/26,909.29,2603720,910.3,915.749,907.56
2017/04/25,907.62,3375239,907.04,909.48,903
2017/04/24,907.41,3118154,908.68,909.99,903.82
2017/04/21,898.53,2408664,902.67,903.65,896.77
2017/04/20,902.06,2808837,899.7,905.32,896.29
2017/04/19,899.2,2865603,907.84,910.5,897.369
2017/04/18,903.78,2996639,900.99,909.61,900.78
2017/04/17,901.99,2849145,887.5,902.38,887.5
2017/04/13,884.67,3169025,891.45,894.97,884.49
