date,close,open,high,low,daily_pct_change,SMA20,SMA50,SMA100,SMA200,trend,signal,position,balance_roll
2010-01-26,119.48,120.56,122.98,119.061,-0.69,129.8289,131.96895999999987,115.56084900000002,98.72364950000002,bearish,0.0,0.0,50482.8
2010-01-27,122.75,121.03,123.33,118.8,2.74,129.0009,131.81335999999988,116.00694900000002,98.94269950000003,bearish,0.0,0.0,50482.8
2010-01-28,126.03,124.43,127.2,122.8,2.67,128.33190000000002,131.67455999999987,116.48264900000004,99.18674950000002,bearish,0.0,0.0,50482.8
2010-01-29,125.41,129.77,131.8499,124.14,-0.49,127.7779,131.55095999999986,116.94804900000003,99.44024950000002,bearish,0.0,0.0,50482.8
2010-02-01,118.87,123.18,124.86,113.82,-5.21,126.99539999999999,131.30335999999986,117.32774900000004,99.64834950000002,bearish,0.0,0.0,50482.8
2010-02-02,118.12,118.79,118.98,114.4,-0.63,126.20639999999999,131.03995999999987,117.68654900000006,99.84869950000002,bearish,0.0,0.0,50482.8
2010-02-03,119.1,117.12,119.61,116.56,0.83,125.42689999999997,130.84215999999986,118.03904900000005,100.05634950000001,bearish,0.0,0.0,50482.8
2010-02-04,115.94,118.64,120.33,115.74,-2.65,124.61139999999997,130.56775999999988,118.35304900000004,100.2423495,bearish,0.0,0.0,50482.8
2010-02-05,117.39,115.88,117.65,114.1,1.25,123.98089999999998,130.2555599999999,118.68834900000003,100.43329949999999,bearish,0.0,0.0,50482.8
2010-02-08,116.83,119.375,121.0,116.56,-0.48,123.14639999999997,129.93335999999988,119.02114900000004,100.6143995,bearish,0.0,0.0,50482.8
2010-02-09,118.03,118.2,119.09,117.0,1.03,122.53249999999998,129.6133599999999,119.29444900000004,100.78224949999999,bearish,0.0,0.0,50482.8
2010-02-10,117.36,118.0,118.61,116.0,-0.57,122.03299999999999,129.3257599999999,119.56364900000004,100.9534495,bearish,0.0,0.0,50482.8
2010-02-11,120.09,117.21,120.4201,116.5,2.33,121.582,129.0093599999999,119.86174900000003,101.1418995,bearish,0.0,0.0,50482.8
2010-02-12,119.66,118.99,119.94,117.5,-0.36,121.19749999999999,128.6325599999999,120.15274900000004,101.34124949999999,bearish,0.0,0.0,50482.8
2010-02-16,117.53,120.06,120.5,117.18,-1.78,120.71700000000001,128.13815999999989,120.39054900000005,101.5262995,bearish,0.0,0.0,50482.8
2010-02-17,116.31,117.075,117.13,115.55,-1.04,120.152,127.6409599999999,120.62984900000005,101.7130495,bearish,0.0,0.0,50482.8
2010-02-18,118.08,115.839,118.51,114.82,1.52,119.76699999999998,127.25095999999989,120.88954900000004,101.9045995,bearish,0.0,0.0,50482.8
2010-02-19,117.52,117.91,119.09,117.0,-0.47,119.31199999999998,126.9171599999999,121.15954900000004,102.0826995,bearish,0.0,0.0,50482.8
2010-02-22,118.01,117.37,118.97,116.18,0.42,119.141,126.59515999999991,121.41754900000005,102.26279949999999,bearish,0.0,0.0,50482.8
2010-02-23,117.24,118.01,119.25,116.51,-0.65,118.9875,126.31375999999989,121.67274900000005,102.45259949999999,bearish,0.0,0.0,50482.8
2010-02-24,119.72,117.96,119.8,117.15,2.12,118.99949999999998,126.0005599999999,121.93634900000005,102.6614495,bearish,0.0,0.0,50482.8
2010-02-25,118.2,118.17,118.34,115.85,-1.27,118.77199999999998,125.6815599999999,122.20794900000004,102.8593995,bearish,0.0,0.0,50482.8
2010-02-26,118.4,117.88,119.43,117.0,0.17,118.39049999999997,125.42195999999988,122.49344900000004,103.0617495,bearish,0.0,0.0,50482.8
2010-03-01,124.54,118.85,124.66,117.53,5.19,118.34699999999998,125.3081599999999,122.85214900000004,103.31349950000002,bearish,0.0,0.0,50482.8
2010-03-02,125.53,125.01,127.35,124.8,0.79,118.67999999999999,125.2515599999999,123.19834900000005,103.5655995,bearish,0.0,0.0,50482.8
2010-03-03,125.89,125.4,126.94,124.43,0.29,119.0685,125.2311599999999,123.51754900000006,103.82704950000002,bearish,0.0,0.0,50482.8
2010-03-04,128.53,125.96,128.85,125.57,2.1,119.54,125.23215999999991,123.85064900000006,104.0899495,bearish,0.0,0.0,50482.8
2010-03-05,128.91,129.13,129.45,127.07,0.3,120.1885,125.1545599999999,124.18264900000007,104.3451495,bearish,0.0,0.0,50482.8
